ANO,PAIS,IDIOMA.DEL.ESTANDARIZADO.COMPLETO,GRUPO_EDITORIAL_COMPLETO,SUBCATEGORIA.DEWEY,CANTIDAD_REGISTROS
2010,BOLIVIA,ALEMÁN,ELEBETE,800 - LITERATURA Y RETÓRICA: GENERAL,5.0
2010,BOLIVIA,AYMARA,LITEXSA,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BOLIVIA,ESPAÑOL,"ALEMAN MENDUINA DE URIBE, SONIA GLADYS",800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BOLIVIA,ESPAÑOL,"ASCARRUNZ DE TARDIO, OLGA LOTTY  (ESELE)",800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BOLIVIA,ESPAÑOL,EDITORIAL 3600,800 - LITERATURA Y RETÓRICA: GENERAL,3.0
2010,BOLIVIA,ESPAÑOL,"FLORES TITALO, MAXIMO JUSTO",860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
2010,BOLIVIA,ESPAÑOL,GRUPO SANTILLANA,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BOLIVIA,ESPAÑOL,MARTINEZ ACCHINI S.R.L. LIBROS,880 - LITERATURAS GRIEGAS CLÁSICAS Y MODERNAS,2.0
2010,BOLIVIA,INGLÉS,"BILBAO, LILIANA",800 - LITERATURA Y RETÓRICA: GENERAL,2.0
2010,BOLIVIA,INGLÉS,ELEBETE,800 - LITERATURA Y RETÓRICA: GENERAL,5.0
2010,BOLIVIA,MULTILINGÜE,ELEBETE,800 - LITERATURA Y RETÓRICA: GENERAL,5.0
2010,BOLIVIA,MULTILINGÜE,FRANCISCO AZUELA ESPINOZA,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BOLIVIA,QUECHUA,LITEXSA,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,BRASIL,ALEMÁN,GOLD EDITORA E GRAFICA LTDA,SIN DATO,8.0
2010,BRASIL,ALEMÁN,SOCIEDADE DE BENEFICENCIA HUMBOLDT,SIN DATO,1.0
2010,BRASIL,ESPAÑOL,ASSOCIACAO SINODAL DE EDITORACAO,SIN DATO,1.0
2010,BRASIL,ESPAÑOL,COMPANHIA MELHORAMENTOS DE SAO PAULO,SIN DATO,1.0
2010,BRASIL,ESPAÑOL,GERALDO PECANHA DE ALMEIDA,SIN DATO,1.0
2010,BRASIL,ESPAÑOL,GLOBAL EDITORA,SIN DATO,5.0
2010,BRASIL,ESPAÑOL,GOLD EDITORA E GRAFICA LTDA,SIN DATO,1.0
2010,BRASIL,ESPAÑOL,LEITURA E ARTE EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,ESPAÑOL,SANTOS E SANTOS EDITORA E ESTUDIO GRAFICO LTDA-ME,SIN DATO,2.0
2010,BRASIL,ESPAÑOL,ZOOM EDITORA EDUCACIONAL LTDA,SIN DATO,5.0
2010,BRASIL,INGLÉS,ALLES TRADE EDITORA E COMERCIO EXTERIOR LTDA,SIN DATO,1.0
2010,BRASIL,INGLÉS,ASSOCIACAO ARTE DESPERTAR,SIN DATO,1.0
2010,BRASIL,INGLÉS,BLU EDITORA LTDA-ME,SIN DATO,3.0
2010,BRASIL,INGLÉS,EDICOES E PRODUCOES PERSON LTDA,SIN DATO,1.0
2010,BRASIL,INGLÉS,EDITORA BRASILEIRA DE ARTE E CULTURA LTDA,SIN DATO,1.0
2010,BRASIL,INGLÉS,FICCOES EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,INGLÉS,FUNDACAO DE PESQUISAS CIENTIFICAS DE RIBEIRAO PRETO,SIN DATO,1.0
2010,BRASIL,INGLÉS,GOLD EDITORA E GRAFICA LTDA,SIN DATO,15.0
2010,BRASIL,INGLÉS,INSTITUTO SOCIOAMBIENTAL,SIN DATO,1.0
2010,BRASIL,INGLÉS,MATIZ ARQUITETURA & DESIGN LTDA.,SIN DATO,1.0
2010,BRASIL,INGLÉS,PAPA TERRA EDITORA LTDA-ME,SIN DATO,1.0
2010,BRASIL,INGLÉS,"SERVITECH ASSESSORIA , SERVICOS TECNICOS E EDICAO DE LIVROS S/S LTDA",SIN DATO,3.0
2010,BRASIL,INGLÉS,THESAURUS EDITORA DE BRASILIA,SIN DATO,1.0
2010,BRASIL,INGLÉS,W FENIANOS EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,INGLÉS,ZOOM EDITORA EDUCACIONAL LTDA,SIN DATO,21.0
2010,BRASIL,LIBRAS,EDITORA ARARA AZUL LTDA,SIN DATO,4.0
2010,BRASIL,MULTILINGÜE,GOLD EDITORA E GRAFICA LTDA,SIN DATO,9.0
2010,BRASIL,PORTUGUÉS,A PAGINA DISTRIBUIDORA DE LIVROS,SIN DATO,8.0
2010,BRASIL,PORTUGUÉS,AA DESIGN PRODUCOES ARTISTICAS E CULTURAIS LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,AGALMA PSICANALISE EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,ALEX DA COSTA OLIVEIRA-ME,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,ALIANCA PRO EVANGELIZACAO DAS CRIANCAS,SIN DATO,8.0
2010,BRASIL,PORTUGUÉS,ALLES TRADE EDITORA E COMERCIO EXTERIOR LTDA,SIN DATO,5.0
2010,BRASIL,PORTUGUÉS,ANTIGA E MISTICA ORDEM ROSAE CRUCIS - AMORC GRANDE,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,ARTHA EDITORA E DISTRIBUIDORA DE LIVROS LTDA-ME,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,ASSOCIACAO BRASILEIRA DE EDUCACAO COREANA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,ASSOCIACAO BRASILIENSE DE EDUCACAO,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,ASSOCIACAO CRISTA VINHEDENSE JESUS CRISTO E O CAMINHO,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,ASSOCIACAO SINODAL DE EDITORACAO,SIN DATO,11.0
2010,BRASIL,PORTUGUÉS,"BANTIM, CANATO E GUAZZELLI EDITORA LTDA",SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,BLU EDITORA LTDA-ME,SIN DATO,36.0
2010,BRASIL,PORTUGUÉS,BOA VIAGEM DISTRIBUIDORA DE LIVROS LTDA,SIN DATO,2.0
2010,BRASIL,PORTUGUÉS,BRINQUE-BOOK EDITORA DE LIVROS LTDA,SIN DATO,34.0
2010,BRASIL,PORTUGUÉS,CADERBRAS BICO INTERNACIONAL LTDA,SIN DATO,34.0
2010,BRASIL,PORTUGUÉS,CALADWIN EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,CAPIVARA EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,CASA EDITORIAL E PROMOCOES LUMINARA LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,CASA NAZARENA DE PUBLICACOES NO BRASIL S/C,SIN DATO,3.0
2010,BRASIL,PORTUGUÉS,CASA PUBLICADORA DAS ASSEMBLEIAS DE DEUS,SIN DATO,6.0
2010,BRASIL,PORTUGUÉS,CENTRO ESPIRITA LEON DENIS,SIN DATO,3.0
2010,BRASIL,PORTUGUÉS,CLAUDIO ROBERTO MARTINI-ME,SIN DATO,7.0
2010,BRASIL,PORTUGUÉS,COMBOIO DO CORDA EDITORA LTDA,SIN DATO,4.0
2010,BRASIL,PORTUGUÉS,COMPANHIA MELHORAMENTOS DE SAO PAULO,SIN DATO,5.0
2010,BRASIL,PORTUGUÉS,COSAC & NAIFY EDICOES LTDA,SIN DATO,6.0
2010,BRASIL,PORTUGUÉS,DESPINA SPYRIDES BOABAID,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,EDICOES ROSARI LTDA,SIN DATO,4.0
2010,BRASIL,PORTUGUÉS,EDITORA ABCPRESS LTDA,SIN DATO,7.0
2010,BRASIL,PORTUGUÉS,EDITORA ATLAS,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,EDITORA BAHA'I DO BRASIL,SIN DATO,25.0
2010,BRASIL,PORTUGUÉS,EDITORA BEST SELLER,SIN DATO,161.0
2010,BRASIL,PORTUGUÉS,EDITORA DIMENSAO LTDA,SIN DATO,3.0
2010,BRASIL,PORTUGUÉS,EDITORA FTD,SIN DATO,11.0
2010,BRASIL,PORTUGUÉS,EDITORA FUNDAMENTO EDUCACIONAL LTDA,SIN DATO,264.0
2010,BRASIL,PORTUGUÉS,EDITORA LANDMARK LTDA,SIN DATO,2.0
2010,BRASIL,PORTUGUÉS,EDITORA MAAYANOT LTDA,SIN DATO,6.0
2010,BRASIL,PORTUGUÉS,EDITORA MANA LTDA,SIN DATO,2.0
2010,BRASIL,PORTUGUÉS,EDITORA MODERNA,SIN DATO,47.0
2010,BRASIL,PORTUGUÉS,EDITORA NOVA ALEXANDRIA LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,EDITORA PAZ E TERRA S/A,SIN DATO,23.0
2010,BRASIL,PORTUGUÉS,EDITORA REVAN LTDA,SIN DATO,3.0
2010,BRASIL,PORTUGUÉS,EDITORA ROCCO,SIN DATO,92.0
2010,BRASIL,PORTUGUÉS,EDITORA TECMEDD LTDA,SIN DATO,19.0
2010,BRASIL,PORTUGUÉS,EDITORA UNDERWORLD LTDA,SIN DATO,11.0
2010,BRASIL,PORTUGUÉS,EDITORA VERGARA BRASIL LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,EDITORA VOZES,SIN DATO,27.0
2010,BRASIL,PORTUGUÉS,FABIO FERREIRA DE ALMEIDA EDITORA E TRADUCAO,SIN DATO,2.0
2010,BRASIL,PORTUGUÉS,FUNDACAO DE PESQUISAS CIENTIFICAS DE RIBEIRAO PRETO,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,FUNDACAO MOKITI OKADA-M O A,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,FUNDACAO UNIVERSITARIA DO DESENVOLVIMENTO DO OESTE,SIN DATO,4.0
2010,BRASIL,PORTUGUÉS,GERACAO EDITORIAL,SIN DATO,5.0
2010,BRASIL,PORTUGUÉS,GLOBAL EDITORA,SIN DATO,3.0
2010,BRASIL,PORTUGUÉS,GRAFICA EDITORA STAMPPA LTDA,SIN DATO,4.0
2010,BRASIL,PORTUGUÉS,GRAFITEC GRAFICA E EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,GRUPOS FAMILIARES AL-ANON DO BRASIL,SIN DATO,2.0
2010,BRASIL,PORTUGUÉS,IBC INSTITUTO BRASILEIRO DE CULTURA LTDA,SIN DATO,2.0
2010,BRASIL,PORTUGUÉS,ICONE EDITORA LTDA,SIN DATO,9.0
2010,BRASIL,PORTUGUÉS,IMAGO EDITORA IMPORTACAO E EXPORTACAO LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,IMPRENSA BATISTA REGULAR DO BRASIL,SIN DATO,6.0
2010,BRASIL,PORTUGUÉS,INSTITUTO BRAS. DO MEIO AMB. E DOS RECUR NAT RENOV,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,INSTITUTO NYINGMA DO BRASIL,SIN DATO,4.0
2010,BRASIL,PORTUGUÉS,JARDIM DOS LIVROS EDITORIAL LTDA,SIN DATO,2.0
2010,BRASIL,PORTUGUÉS,KALANDRAKA EDITORA SL,SIN DATO,5.0
2010,BRASIL,PORTUGUÉS,LEITURA E ARTE EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,LIVRO IDEAL DISTRIBUIDORA DE LIVROS LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,MADRAS EDITORA,SIN DATO,45.0
2010,BRASIL,PORTUGUÉS,MANUELA EDITORIAL LTDA,SIN DATO,4.0
2010,BRASIL,PORTUGUÉS,MARES TIZZOT EDITORA LTDA,SIN DATO,6.0
2010,BRASIL,PORTUGUÉS,MILFOLHAS PRODUCAO EDITORIAL LTDA,SIN DATO,3.0
2010,BRASIL,PORTUGUÉS,MINISTERIO IGREJA EM CELULAS NO BRASIL,SIN DATO,2.0
2010,BRASIL,PORTUGUÉS,MISSAO EVANGELICA UNIAO CRISTA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,MUSA EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,ODYSSEUS EDITORA LTDA,SIN DATO,5.0
2010,BRASIL,PORTUGUÉS,ONIX EDITORIAL ECOMUNICACOES LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,OPERA PRIMA EDITORIAL E CULTURAL LTDA-ME,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,ORGANIZACAO ANDREI EDITORA LTDA,SIN DATO,3.0
2010,BRASIL,PORTUGUÉS,PANDORGA EDITORA E PRODUTORA LTDA,SIN DATO,2.0
2010,BRASIL,PORTUGUÉS,PAO E ROSAS EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,PARABOLA EDITORIAL LTDA,SIN DATO,7.0
2010,BRASIL,PORTUGUÉS,PETULA VENTURA LEMOS PETERSEN - ME,SIN DATO,17.0
2010,BRASIL,PORTUGUÉS,PINTO E ZINCONE EDITORA LTDA,SIN DATO,10.0
2010,BRASIL,PORTUGUÉS,PRI PRIMAVERA EDITORIAL LTDA,SIN DATO,4.0
2010,BRASIL,PORTUGUÉS,PROPOSITOS - TREINAMENTO & RECURSOS,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,RHJ LIVROS LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,SANTOS E SANTOS EDITORA E ESTUDIO GRAFICO LTDA-ME,SIN DATO,6.0
2010,BRASIL,PORTUGUÉS,SARAIVA SA LIVREIROS EDITORES,SIN DATO,95.0
2010,BRASIL,PORTUGUÉS,TARJA COMERCIO E SERVICOS EDITORIAS LTDA,SIN DATO,2.0
2010,BRASIL,PORTUGUÉS,TEXTO EDITORES LTDA,SIN DATO,13.0
2010,BRASIL,PORTUGUÉS,THESAURUS EDITORA DE BRASILIA,SIN DATO,2.0
2010,BRASIL,PORTUGUÉS,TRIOM CENTRO DE ESTUDOS MARINA E MARTIN HARVEY EDITORIAL E COMERCIAL LTDA-EPP,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,VIVEIROS DE CASTRO EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,PORTUGUÉS,ZOUK EDITORA E DISTRIBUIDORA LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,ACAO SOCIAL CLARETIANA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,ALIANCA PRO EVANGELIZACAO DAS CRIANCAS,SIN DATO,2.0
2010,BRASIL,SIN IDENTIFICAR,BIBLIOTECA - CENTRO DE PESQUISA AMERICA DO SUL - PAISES ARABES,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,BLU EDITORA LTDA-ME,SIN DATO,4.0
2010,BRASIL,SIN IDENTIFICAR,BOA VIAGEM DISTRIBUIDORA DE LIVROS LTDA,SIN DATO,2.0
2010,BRASIL,SIN IDENTIFICAR,BRINQUE-BOOK EDITORA DE LIVROS LTDA,SIN DATO,2.0
2010,BRASIL,SIN IDENTIFICAR,CAPIVARA EDITORA LTDA,SIN DATO,3.0
2010,BRASIL,SIN IDENTIFICAR,CASA PUBLICADORA DAS ASSEMBLEIAS DE DEUS,SIN DATO,5.0
2010,BRASIL,SIN IDENTIFICAR,COMBOIO DO CORDA EDITORA LTDA,SIN DATO,3.0
2010,BRASIL,SIN IDENTIFICAR,COMPANHIA MELHORAMENTOS DE SAO PAULO,SIN DATO,25.0
2010,BRASIL,SIN IDENTIFICAR,CONHECIMENTO EDITORA E DISTRIBUIDORA DE LIVROS LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDICOES ROSARI LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA ARARA AZUL LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA BAHA'I DO BRASIL,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA BEST SELLER,SIN DATO,12.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA CLARIDADE LTDA,SIN DATO,2.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA DO BRASIL,SIN DATO,2.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA ESFERA LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA FTD,SIN DATO,2.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA FUNDAMENTO EDUCACIONAL LTDA,SIN DATO,11.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA ITHALA LADA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA MAGIA DE LER LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA MIRARTE LTDA-ME,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA MODERNA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA PORTO DE IDEIAS EPP,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA POSITIVO LTDA,SIN DATO,22.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA REVAN LTDA,SIN DATO,2.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA ROCCO,SIN DATO,5.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA SAPIENTIA LTDA-ME,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA TANTATINTA LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA TECMEDD LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,EDITORA VOZES,SIN DATO,4.0
2010,BRASIL,SIN IDENTIFICAR,FEDERACAO ESPIRITA BRASILEIRA,SIN DATO,5.0
2010,BRASIL,SIN IDENTIFICAR,GRAFICA EDITORA STAMPPA LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,GRUPO ARTESANAL,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,ICONE EDITORA LTDA,SIN DATO,4.0
2010,BRASIL,SIN IDENTIFICAR,IDEA EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,IMAGO EDITORA IMPORTACAO E EXPORTACAO LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,INSTITUTO BRAS. DO MEIO AMB. E DOS RECUR NAT RENOV,SIN DATO,2.0
2010,BRASIL,SIN IDENTIFICAR,LEONID STRELIAEV,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,LIVRARIA ELDORADO TIJUCA LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,M4 PRODUCOES ARTISTICAS LTDA-ME,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,MADRAS EDITORA,SIN DATO,6.0
2010,BRASIL,SIN IDENTIFICAR,MALHEIROS EDITORES LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,MANUELA EDITORIAL LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,MARES TIZZOT EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,NATUGRAF LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,ODYSSEUS EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,PHOENIX PROJETOS E SERVICOS CULTURAIS LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,PINTO E ZINCONE EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,RUSSELL EDITORA LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,SARAIVA SA LIVREIROS EDITORES,SIN DATO,19.0
2010,BRASIL,SIN IDENTIFICAR,"SERVITECH ASSESSORIA , SERVICOS TECNICOS E EDICAO DE LIVROS S/S LTDA",SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,SUPREMA CULTURA EDITORA E DISTRIBUIDORA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,TEXTO EDITORES LTDA,SIN DATO,2.0
2010,BRASIL,SIN IDENTIFICAR,ZOOM EDITORA EDUCACIONAL LTDA,SIN DATO,1.0
2010,BRASIL,SIN IDENTIFICAR,ZOUK EDITORA E DISTRIBUIDORA LTDA,SIN DATO,1.0
2010,CHILE,ESPAÑOL,AMAPOLA EDITORES LIMITADA,890 - LITERATURAS DE OTRAS LENGUAS,1.0
2010,CHILE,ESPAÑOL,ANDRES BELLO,890 - LITERATURAS DE OTRAS LENGUAS,1.0
2010,CHILE,ESPAÑOL,"CATRIL SEPULVEDA, CLAUDIO HUMBERTO",860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
2010,CHILE,ESPAÑOL,CHANCACAZO PUBLICACIONES SPA,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
2010,CHILE,ESPAÑOL,CUARTO PROPIO,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
2010,CHILE,ESPAÑOL,CUARTO PROPIO,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
2010,CHILE,ESPAÑOL,CUARTO PROPIO,890 - LITERATURAS DE OTRAS LENGUAS,1.0
2010,CHILE,ESPAÑOL,DIMACOFI SERVICIOS S.A.,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
2010,CHILE,ESPAÑOL,DIMACOFI SERVICIOS S.A.,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,1.0
2010,CHILE,ESPAÑOL,DIMACOFI SERVICIOS S.A.,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
2010,CHILE,ESPAÑOL,DIMACOFI SERVICIOS S.A.,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
2010,CHILE,ESPAÑOL,DIMACOFI SERVICIOS S.A.,870 - LITERATURAS LATINAS E ITALIANAS,2.0
2010,CHILE,ESPAÑOL,DIMACOFI SERVICIOS S.A.,880 - LITERATURAS GRIEGAS CLÁSICAS Y MODERNAS,1.0
2010,CHILE,ESPAÑOL,EDICIONES TACITAS,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,CHILE,ESPAÑOL,EDICIONES TACITAS,870 - LITERATURAS LATINAS E ITALIANAS,2.0
2010,CHILE,ESPAÑOL,EDICIONES TACITAS,890 - LITERATURAS DE OTRAS LENGUAS,1.0
2010,CHILE,ESPAÑOL,EDICIONES UNIVERSIDAD DIEGO PORTALES,800 - LITERATURA Y RETÓRICA: GENERAL,2.0
2010,CHILE,ESPAÑOL,EDITORA ZIG-ZAG,800 - LITERATURA Y RETÓRICA: GENERAL,12.0
2010,CHILE,ESPAÑOL,EDITORA ZIG-ZAG,820 - LITERATURA INGLESA E INGLESA ANTIGUA,9.0
2010,CHILE,ESPAÑOL,EDITORA ZIG-ZAG,840 - LITERATURA DE LAS LENGUAS ROMANCES,4.0
2010,CHILE,ESPAÑOL,EDITORA ZIG-ZAG,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",1.0
2010,CHILE,ESPAÑOL,EDITORA ZIG-ZAG,890 - LITERATURAS DE OTRAS LENGUAS,1.0
2010,CHILE,ESPAÑOL,EDITORIAL IDUNN LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,4.0
2010,CHILE,ESPAÑOL,EDITORIAL UNIVERSIDAD DE SANTIAGO DE CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
2010,CHILE,ESPAÑOL,EMBAJADA DEL REINO DE MARRUECOS,890 - LITERATURAS DE OTRAS LENGUAS,3.0
2010,CHILE,ESPAÑOL,IMPORTADORA Y COMERCIALIZADORA EUROSUR LTDA.,800 - LITERATURA Y RETÓRICA: GENERAL,37.0
2010,CHILE,ESPAÑOL,IMPORTADORA Y COMERCIALIZADORA EUROSUR LTDA.,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
2010,CHILE,ESPAÑOL,LOM EDICIONES,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,1.0
2010,CHILE,ESPAÑOL,LOM EDICIONES,840 - LITERATURA DE LAS LENGUAS ROMANCES,1.0
2010,CHILE,ESPAÑOL,LOM EDICIONES,890 - LITERATURAS DE OTRAS LENGUAS,1.0
2010,CHILE,ESPAÑOL,MANUEL ENRIQUE LOYOLA TAPIA SERVICIOS EDITORIALES E.I.R.L. - ARIADNA EDICIONES,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,CHILE,ESPAÑOL,MARIA EUGENIA LORENZINI PIZARRO EDITORIAL E.I.R.L. - EDITORIAL FORJA,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,CHILE,ESPAÑOL,MARIA EUGENIA LORENZINI PIZARRO EDITORIAL E.I.R.L. - EDITORIAL FORJA,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
2010,CHILE,ESPAÑOL,PENGUIN RANDOM HOUSE,800 - LITERATURA Y RETÓRICA: GENERAL,10.0
2010,CHILE,ESPAÑOL,PENGUIN RANDOM HOUSE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,48.0
2010,CHILE,ESPAÑOL,RED INTERNACIONAL DEL LIBRO,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,CHILE,ESPAÑOL,RED INTERNACIONAL DEL LIBRO,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
2010,CHILE,ESPAÑOL,RED INTERNACIONAL DEL LIBRO,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
2010,CHILE,ESPAÑOL,TAJAMAR EDITORES LIMITADA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,3.0
2010,CHILE,ESPAÑOL,TAJAMAR EDITORES LIMITADA,880 - LITERATURAS GRIEGAS CLÁSICAS Y MODERNAS,1.0
2010,CHILE,ESPAÑOL,UNIVERSITARIA S.A,820 - LITERATURA INGLESA E INGLESA ANTIGUA,2.0
2010,CHILE,ESPAÑOL,UNIVERSITARIA S.A,870 - LITERATURAS LATINAS E ITALIANAS,2.0
2010,CHILE,ESPAÑOL,UQBAR EDITORES,820 - LITERATURA INGLESA E INGLESA ANTIGUA,1.0
2010,CHILE,ESPAÑOL,VICENS VIVES CHILE S.A.,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,CHILE,INGLÉS,AMAPOLA EDITORES LIMITADA,890 - LITERATURAS DE OTRAS LENGUAS,4.0
2010,CHILE,INGLÉS,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
2010,CHILE,MULTILINGÜE,ALTAZOR,800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,CHILE,MULTILINGÜE,AMAPOLA EDITORES LIMITADA,890 - LITERATURAS DE OTRAS LENGUAS,5.0
2010,CHILE,MULTILINGÜE,ANDRES BELLO,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
2010,CHILE,MULTILINGÜE,"ANTILLANCA ANTILLANCA, CRISTIAN AURELIO",800 - LITERATURA Y RETÓRICA: GENERAL,1.0
2010,CHILE,MULTILINGÜE,ASOCIACION INDIGENA TREPEIN PULAMNGEN,890 - LITERATURAS DE OTRAS LENGUAS,1.0
2010,CHILE,MULTILINGÜE,ASTERION,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,1.0
