PAIS,ANO,IDIOMA.ESTANDARIZADO.COMPLETO,SUBCATEGORIA.DEWEY,GRUPO_EDITORIAL_COMPLETO,CANTIDAD_REGISTROS
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,ADRIANA HIDALGO EDITORA,2.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,BLATT & RIOS,1.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,CORREGIDOR,5.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,CULTURAL LIBRERA AMERICANA,1.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,DAKOTA BUILDING EDITORA,1.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,EDHASA,2.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,EL CUENCO DE PLATA,1.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO PRISA,3.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,IAMIQUE,2.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,MOISES ROBERTO CARDENAS CHACON,1.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,PENGUIN RANDOM HOUSE,1.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,UNSAMEDITA,2.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,V&R,7.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,VERONICA PAOLA LOMBARDO,1.0
ARGENTINA,2016,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,VOX/LUX,2.0
ARGENTINA,2016,MULTILINGÜE,800 - LITERATURA Y RETÓRICA: GENERAL,COMO GOG Y MAGOG EDICIONES,1.0
ARGENTINA,2016,MULTILINGÜE,800 - LITERATURA Y RETÓRICA: GENERAL,NULU BONSAI EDITORA,1.0
ARGENTINA,2016,MULTILINGÜE,800 - LITERATURA Y RETÓRICA: GENERAL,RECOVECOS,1.0
ARGENTINA,2016,PORTUGUÉS,800 - LITERATURA Y RETÓRICA: GENERAL,PENGUIN RANDOM HOUSE,1.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,CORREGIDOR,1.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,DE CIUTIIS EDICIONES,3.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,EDHASA,1.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,EDICIONES JUANA DE ANGELIS,1.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPAL,1.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO PRISA,1.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,HOLTZBRINCK,1.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,LA ESQUINA DE LOS VIENTOS,1.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,OJOREJA,1.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,PATO-EN-LA-CARA,1.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,PENGUIN RANDOM HOUSE,2.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,V&R,3.0
ARGENTINA,2017,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,ZINDO & GAFURI,1.0
ARGENTINA,2017,GALLEGO,800 - LITERATURA Y RETÓRICA: GENERAL,DAKOTA BUILDING EDITORA,1.0
ARGENTINA,2017,SIN IDENTIFICAR,800 - LITERATURA Y RETÓRICA: GENERAL,MARIA EUGENIA KRAUSS,1.0
ARGENTINA,2017,SIN IDENTIFICAR,800 - LITERATURA Y RETÓRICA: GENERAL,PENGUIN RANDOM HOUSE,1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,"ALEMANY ELOISE MITSUKO, MARIE ELEONARE",1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,ASOCIACION CASA EDITORA SUDAMERICANA,7.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,BAJOLALUNA EDITORIAL S.A.S.,1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,"BENEDETTO, JULIETA MARIA LAURA",1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,EDHASA S.A.,1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,EDICIONES CORREGIDOR S.A.I.C.I. Y E.,7.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORIAL MAREA S.R.L.,1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,ETERNA CADENCIA S.R.L.,1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,"FRACCAROLLI, KARINA J.",1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,"GRINBERG, PATRICIO GABRIEL",1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO ILHSA S.A.,5.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO PLANETA,3.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,INTERZONA EDITORA S.A.,1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,"NOLLA PORTILLO, FABIANA DE LOS MILAGROS",1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,PENGUIN RANDOM HOUSE,4.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,TUSQUETS EDITORES S.A.,1.0
ARGENTINA,2019,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,VERASOFT S.A.,1.0
ARGENTINA,2019,MULTILINGÜE,800 - LITERATURA Y RETÓRICA: GENERAL,EDICIONES CORREGIDOR S.A.I.C.I. Y E.,2.0
ARGENTINA,2019,MULTILINGÜE,800 - LITERATURA Y RETÓRICA: GENERAL,"PEREZ GUZMAN, ARIEL LEONARDO",1.0
ARGENTINA,2019,MULTILINGÜE,800 - LITERATURA Y RETÓRICA: GENERAL,UNIVERSIDAD NACIONAL DE LA PAMPA,2.0
ARGENTINA,2020,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,"ARZAC, AGUSTIN",1.0
ARGENTINA,2020,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,ASOCIACION CASA EDITORA SUDAMERICANA,3.0
ARGENTINA,2020,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,EDICIONES CORREGIDOR S.A.I.C.I. Y E.,6.0
ARGENTINA,2020,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,"GRINBERG, PATRICIO GABRIEL",1.0
ARGENTINA,2020,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO ILHSA S.A.,3.0
ARGENTINA,2020,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,INSTITUTO DE ENSENANZA GENERAL,1.0
ARGENTINA,2020,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,"NIEVA, MARCELO ALEJANDRO",1.0
ARGENTINA,2020,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,PEARSON,17.0
BOLIVIA,2010,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO SANTILLANA,1.0
BOLIVIA,2018,ESPAÑOL,800 - LITERATURA Y RETÓRICA: GENERAL,"DOTZAUER GUMUCIO, DANIELA SUSANA",1.0
BOLIVIA,2020,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORIAL EL CUERVO,1.0
BOLIVIA,2024,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,"CLAROS FUENTES, ARIEL IBER",1.0
BOLIVIA,2024,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORIAL EL CUERVO,1.0
BRASIL,2010,ALEMÁN,SIN DATO,GOLD EDITORA E GRAFICA LTDA,8.0
BRASIL,2010,ALEMÁN,SIN DATO,SOCIEDADE DE BENEFICENCIA HUMBOLDT,1.0
BRASIL,2010,ESPAÑOL,SIN DATO,ASSOCIACAO SINODAL DE EDITORACAO,1.0
BRASIL,2010,ESPAÑOL,SIN DATO,COMPANHIA MELHORAMENTOS DE SAO PAULO,1.0
BRASIL,2010,ESPAÑOL,SIN DATO,GERALDO PECANHA DE ALMEIDA,1.0
BRASIL,2010,ESPAÑOL,SIN DATO,GLOBAL EDITORA,5.0
BRASIL,2010,ESPAÑOL,SIN DATO,GOLD EDITORA E GRAFICA LTDA,1.0
BRASIL,2010,ESPAÑOL,SIN DATO,LEITURA E ARTE EDITORA LTDA,1.0
BRASIL,2010,ESPAÑOL,SIN DATO,SANTOS E SANTOS EDITORA E ESTUDIO GRAFICO LTDA-ME,2.0
BRASIL,2010,ESPAÑOL,SIN DATO,ZOOM EDITORA EDUCACIONAL LTDA,5.0
BRASIL,2010,INGLÉS,SIN DATO,ALLES TRADE EDITORA E COMERCIO EXTERIOR LTDA,1.0
BRASIL,2010,INGLÉS,SIN DATO,ASSOCIACAO ARTE DESPERTAR,1.0
BRASIL,2010,INGLÉS,SIN DATO,BLU EDITORA LTDA-ME,3.0
BRASIL,2010,INGLÉS,SIN DATO,EDICOES E PRODUCOES PERSON LTDA,1.0
BRASIL,2010,INGLÉS,SIN DATO,EDITORA BRASILEIRA DE ARTE E CULTURA LTDA,1.0
BRASIL,2010,INGLÉS,SIN DATO,FICCOES EDITORA LTDA,1.0
BRASIL,2010,INGLÉS,SIN DATO,FUNDACAO DE PESQUISAS CIENTIFICAS DE RIBEIRAO PRETO,1.0
BRASIL,2010,INGLÉS,SIN DATO,GOLD EDITORA E GRAFICA LTDA,15.0
BRASIL,2010,INGLÉS,SIN DATO,INSTITUTO SOCIOAMBIENTAL,1.0
BRASIL,2010,INGLÉS,SIN DATO,MATIZ ARQUITETURA & DESIGN LTDA.,1.0
BRASIL,2010,INGLÉS,SIN DATO,PAPA TERRA EDITORA LTDA-ME,1.0
BRASIL,2010,INGLÉS,SIN DATO,"SERVITECH ASSESSORIA , SERVICOS TECNICOS E EDICAO DE LIVROS S/S LTDA",3.0
BRASIL,2010,INGLÉS,SIN DATO,THESAURUS EDITORA DE BRASILIA,1.0
BRASIL,2010,INGLÉS,SIN DATO,W FENIANOS EDITORA LTDA,1.0
BRASIL,2010,INGLÉS,SIN DATO,ZOOM EDITORA EDUCACIONAL LTDA,21.0
BRASIL,2010,LIBRAS,SIN DATO,EDITORA ARARA AZUL LTDA,4.0
BRASIL,2010,MULTILINGÜE,SIN DATO,GOLD EDITORA E GRAFICA LTDA,9.0
BRASIL,2010,PORTUGUÉS,SIN DATO,CENTRO ESPIRITA LEON DENIS,3.0
BRASIL,2010,PORTUGUÉS,SIN DATO,EDITORA BEST SELLER,7.0
BRASIL,2010,PORTUGUÉS,SIN DATO,EDITORA FUNDAMENTO EDUCACIONAL LTDA,6.0
BRASIL,2011,ALEMÁN,SIN DATO,CENTRO ESPIRITA CAMINHO DA REDENCAO,2.0
BRASIL,2011,ALEMÁN,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,2.0
BRASIL,2011,CHINO,SIN DATO,ZOOM EDITORA EDUCACIONAL LTDA,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,AC FARMACEUTICA LTDA,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,ALAUDE EDITORIAL LTDA,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,ARTPOP ACADEMIA DE ARTES DE CABO FRIO,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,ASSOCIACAO INTERNACIONAL DE ESCRITORES E ARTISTAS,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,ASSOCIACAO PINACOTECA ARTE  E CULTURA - APAC,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,BENEDITO CESAR SILVA,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,CENTRO DIFUSOR DE CULTURA LTDA,19.0
BRASIL,2011,ESPAÑOL,SIN DATO,COMPANHIA MELHORAMENTOS DE SAO PAULO,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,11.0
BRASIL,2011,ESPAÑOL,SIN DATO,EDITORA E LIVRARIA ADHONEP,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,ELEMENTAR PUBLICACOES E EDITORA LTDA-ME,2.0
BRASIL,2011,ESPAÑOL,SIN DATO,ESCOLA DE EDUCACAO TEOLOGICA DAS ASSEMBLEIAS DE DEUS,2.0
BRASIL,2011,ESPAÑOL,SIN DATO,FUNDACAO ODEBRECHT,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,GLOBAL EDITORA,2.0
BRASIL,2011,ESPAÑOL,SIN DATO,GUARITA DIGITAL CONSULTORIA E SERVICOS DE INFORMATICA LTDA,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,HIBRIDA PRODUCOES ARTISTICAS LTDA - ME,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,IGREJA CRISTA EVANGELICA DO BRASIL,2.0
BRASIL,2011,ESPAÑOL,SIN DATO,INSTITUTO BRASILEIRO DE GOVERNANCA CORPORATIVA,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,LIVRARIA SANTOS EDITORA COMERCIO E IMPORTACAO LTDA,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,PALAVRA & PRECE EDITORA LTDA,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,PHOTOS EDITORA GRAFICA LTDA-ME,4.0
BRASIL,2011,ESPAÑOL,SIN DATO,PROTON EDITORA E TECNOLOGIA LTDA,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,RABONI EDITORA LTDA,1.0
BRASIL,2011,ESPAÑOL,SIN DATO,ZOOM EDITORA EDUCACIONAL LTDA,7.0
BRASIL,2011,ESPERANTO,SIN DATO,IMPRESSAO DIGITAL DO BRASIL GRAFICA E EDITORA LTDA,1.0
BRASIL,2011,FINLANDÉS,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,1.0
BRASIL,2011,GRIEGO,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,3.0
BRASIL,2011,HUNGARO,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,1.0
BRASIL,2011,INGLÉS,SIN DATO,ACTION EDITORA LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,ADLER EDITORA LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,ALAUDE EDITORIAL LTDA,3.0
BRASIL,2011,INGLÉS,SIN DATO,ALLES TRADE EDITORA E COMERCIO EXTERIOR LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,ASSOCIACAO DOS AMIGOS DO PACO DAS ARTES FRANCISCO MATARAZZO SOBRINHO,1.0
BRASIL,2011,INGLÉS,SIN DATO,ASSOCIACAO PINACOTECA ARTE  E CULTURA - APAC,1.0
BRASIL,2011,INGLÉS,SIN DATO,ASSOCIACAO RELIGIOSA EDITORIAL MUNDO CRISTAO,1.0
BRASIL,2011,INGLÉS,SIN DATO,AUTOMATICA PRODUCAO CONTEMPORANEA LTDA.,2.0
BRASIL,2011,INGLÉS,SIN DATO,BEROHOKA - FILMES E EDITORA LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,CASA PUBLICADORA BRASILEIRA (CPB),1.0
BRASIL,2011,INGLÉS,SIN DATO,CENTRO DIFUSOR DE CULTURA LTDA,19.0
BRASIL,2011,INGLÉS,SIN DATO,CIRANDA CULTURAL,1.0
BRASIL,2011,INGLÉS,SIN DATO,COMPANHIA MELHORAMENTOS DE SAO PAULO,2.0
BRASIL,2011,INGLÉS,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,21.0
BRASIL,2011,INGLÉS,SIN DATO,CYNARA CAMPANATI TRINDADE,1.0
BRASIL,2011,INGLÉS,SIN DATO,DIALETO LATIN AMERICAN DOCUMENTARY,1.0
BRASIL,2011,INGLÉS,SIN DATO,E-PAPERS SERVICOS EDITORIAIS LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,EDITORA BRASILEIRA DE ARTE E CULTURA LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,ENOCK FERNANDES SACRAMENTO,1.0
BRASIL,2011,INGLÉS,SIN DATO,ESSENTIAL IDEA EDITORAS LTDA - EPP,1.0
BRASIL,2011,INGLÉS,SIN DATO,FEDERACAO DE ORGAOS PARA A ASSISTENCIA SOCIAL E EDUCACIONAL,1.0
BRASIL,2011,INGLÉS,SIN DATO,FUNDACAO BIBLIOTECA NACIONAL,1.0
BRASIL,2011,INGLÉS,SIN DATO,FUNDACAO DE PESQUISAS CIENTIFICAS DE RIBEIRAO PRETO,1.0
BRASIL,2011,INGLÉS,SIN DATO,IMPRENSA OFICIAL DO ESTADO S/A IMESP,1.0
BRASIL,2011,INGLÉS,SIN DATO,INBOOK EDITORA LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,INSTITUTO CULTURAL ALETRIA LTDA,2.0
BRASIL,2011,INGLÉS,SIN DATO,JOAO CLOVES TENORIO DE VASCONCELOS,1.0
BRASIL,2011,INGLÉS,SIN DATO,JORGE EDUARDO DESGRANGES DE CARVALHO,1.0
BRASIL,2011,INGLÉS,SIN DATO,KBR DIGITAL EDITORA,2.0
BRASIL,2011,INGLÉS,SIN DATO,KOMEDI EDITORA E COMERCIO LTDA-ME,1.0
BRASIL,2011,INGLÉS,SIN DATO,LAGOA EDITORA LTDA,3.0
BRASIL,2011,INGLÉS,SIN DATO,LEONID STRELIAEV,1.0
BRASIL,2011,INGLÉS,SIN DATO,LUMIAR COMUNICACAO E CONSULTORIA LTDA.,1.0
BRASIL,2011,INGLÉS,SIN DATO,NOVO SECULO EDITORA,1.0
BRASIL,2011,INGLÉS,SIN DATO,"ORGANIZACAO DAS NACOES UNIDAS PARA A EDUCACAO, A CIENCIA E A CULTURA",1.0
BRASIL,2011,INGLÉS,SIN DATO,OZORIO JOSE ARAUJO DO COUTO,1.0
BRASIL,2011,INGLÉS,SIN DATO,PORTAL EDITORA E EVENTOS LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,"PRIMEIRA PAGINA EDITORA - ASSESSORIA, PUBLICIDADE E PROMOCOES LTDA",1.0
BRASIL,2011,INGLÉS,SIN DATO,RABONI EDITORA LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,ROBERT SILVA DE MENESES,1.0
BRASIL,2011,INGLÉS,SIN DATO,ROSA DE BASSI GRAFICA E EDITORA LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,SAE BRASIL,1.0
BRASIL,2011,INGLÉS,SIN DATO,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL -  ADMINISTRACAO REGIONAL DO ESTADO DO RIO DE JANEIRO,1.0
BRASIL,2011,INGLÉS,SIN DATO,SUMMUS EDITORIAL LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,TOPTRENDS TENDENCIAS E SOLUCOES EM COMUNICACAO LTDA,1.0
BRASIL,2011,INGLÉS,SIN DATO,UNIAO DA AGROINDUSTRIA CANAVIEIRA DO ESTADO DE SAO PAULO,1.0
BRASIL,2011,INGLÉS,SIN DATO,UNIVERSIDADE DE SAO PAULO,1.0
BRASIL,2011,ITALIANO,SIN DATO,CONEL - COMERCIO NACIONAL E EDITORA DE LIVROS LTDA,1.0
BRASIL,2011,ITALIANO,SIN DATO,PROTON EDITORA E TECNOLOGIA LTDA,1.0
BRASIL,2011,MULTILINGÜE,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,24.0
BRASIL,2011,MULTILINGÜE,SIN DATO,MARIA AUXILIADORA DE MELO AGUIAR,1.0
BRASIL,2011,MULTILINGÜE,SIN DATO,PROTON EDITORA E TECNOLOGIA LTDA,1.0
BRASIL,2011,POLACO,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,1.0
BRASIL,2011,PORTUGUÉS,SIN DATO,CIRANDA CULTURAL,51.0
BRASIL,2011,PORTUGUÉS,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,59.0
BRASIL,2011,PORTUGUÉS,SIN DATO,IBC INSTITUTO BRASILEIRO DE CULTURA LTDA,5.0
BRASIL,2011,PORTUGUÉS,SIN DATO,PLANETA DE AGOSTINI,2.0
BRASIL,2011,PORTUGUÉS,SIN DATO,SARAIVA SA LIVREIROS EDITORES,3.0
BRASIL,2011,PORTUGUÉS,SIN DATO,TODOLIVRO,7.0
BRASIL,2011,PORTUGUÉS,SIN DATO,ZOOM EDITORA EDUCACIONAL LTDA,1.0
BRASIL,2011,RUSO,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,2.0
BRASIL,2011,SUECO,SIN DATO,CENTRO ESPIRITA CAMINHO DA REDENCAO,1.0
BRASIL,2011,SUECO,SIN DATO,CONSELHO ESPIRITA INTERNACIONAL,1.0
BRASIL,2012,ESPAÑOL,SIN DATO,EDITORA LIVOBOOKS LTDA,2.0
BRASIL,2012,ESPAÑOL,SIN DATO,EDITORA PATUA,1.0
BRASIL,2012,ESPAÑOL,SIN DATO,GLOBAL EDITORA,5.0
BRASIL,2012,ESPAÑOL,SIN DATO,INSTITUTO SOCIOAMBIENTAL,1.0
BRASIL,2012,ESPAÑOL,SIN DATO,MANUELA EDITORIAL LTDA,1.0
BRASIL,2012,ESPAÑOL,SIN DATO,THESAURUS EDITORA DE BRASILIA,1.0
BRASIL,2012,ESPAÑOL,SIN DATO,ZOOM EDITORA EDUCACIONAL LTDA,2.0
BRASIL,2012,FINLANDÉS,SIN DATO,PROTON EDITORA E TECNOLOGIA LTDA,1.0
BRASIL,2012,INDONESIO,SIN DATO,INSTITUTO SOCIOAMBIENTAL,1.0
BRASIL,2012,INGLÉS,SIN DATO,"7 AMIGOS DA BIBLIA EDITORA, COMERCIO E PARTICIPACOES",1.0
BRASIL,2012,INGLÉS,SIN DATO,ASSOCIACAO CASA AZUL,1.0
BRASIL,2012,INGLÉS,SIN DATO,ASSOCIACAO INTERNACIONAL DE ESCRITORES E ARTISTAS,2.0
BRASIL,2012,INGLÉS,SIN DATO,CAPIVARA EDITORA LTDA,2.0
BRASIL,2012,INGLÉS,SIN DATO,CARTHAGO EDITORIAL LTDA,3.0
BRASIL,2012,INGLÉS,SIN DATO,COSAC & NAIFY EDICOES LTDA,1.0
BRASIL,2012,INGLÉS,SIN DATO,EDITORA BRASILEIRA DE ARTE E CULTURA LTDA,3.0
BRASIL,2012,INGLÉS,SIN DATO,EDITORA DUBOLSINHO LTDA,6.0
BRASIL,2012,INGLÉS,SIN DATO,EDITORA LIVOBOOKS LTDA,2.0
BRASIL,2012,INGLÉS,SIN DATO,EDITORA MODERNA,3.0
BRASIL,2012,INGLÉS,SIN DATO,EDITORA TECMEDD LTDA,14.0
BRASIL,2012,INGLÉS,SIN DATO,EDITORA VOZES,1.0
BRASIL,2012,INGLÉS,SIN DATO,INSTITUTO SOCIOAMBIENTAL,2.0
BRASIL,2012,INGLÉS,SIN DATO,JOACLES COSTA BENTO,1.0
BRASIL,2012,INGLÉS,SIN DATO,RENE CARLOS CRUZ RODRIGUES - EPP,2.0
BRASIL,2012,INGLÉS,SIN DATO,THESAURUS EDITORA DE BRASILIA,4.0
BRASIL,2012,ITALIANO,SIN DATO,IBC INSTITUTO BRASILEIRO DE CULTURA LTDA,4.0
BRASIL,2012,LIBRAS,SIN DATO,EDITORA ARARA AZUL LTDA,1.0
BRASIL,2012,PORTUGUÉS,SIN DATO,GRAFICA E EDITORA ADONIS LTDA,1.0
BRASIL,2013,ALEMÁN,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,EDITORA MARTIN CLARET LTDA,1.0
BRASIL,2013,ALEMÁN,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,CALLIS EDITORA LTDA,1.0
BRASIL,2013,ALEMÁN,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,RHJ LIVROS LTDA,1.0
BRASIL,2013,ALEMÁN,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ROSENI MARIA FELICIANO KURANYI,2.0
BRASIL,2013,ALEMÁN,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,SONIA OLIVEIRA CASTRO COELHO,1.0
BRASIL,2013,ALEMÁN,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,UNI DUNI EDITORA DE LIVROS LTDA,2.0
BRASIL,2013,ESPAÑOL,080 - COLECCIONES GENERALES,CIRANDA CULTURAL,8.0
BRASIL,2013,ESPAÑOL,080 - COLECCIONES GENERALES,EDITORA FUNDAMENTO EDUCACIONAL LTDA,3.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ASSOCIACAO PAULISTA DE ESPERANTO,2.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,AUTENTICA EDITORA,1.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,COSAC & NAIFY EDICOES LTDA,1.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA BAOBA LTDA,3.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA E LIVRARIA BIANCOVILLI & M. COSTA LTDA,1.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORA SCHOBA LTDA-ME,2.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ENSINAMENTO EDITORA LTDA,4.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ESCRITORIO DE EDUCACAO DA EMBAIXADA DA ESPANHA,1.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GERACAO EDITORIAL,1.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,IZABEL BATISTA MASCARENHAS DE SOUZA ME,2.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LEDUR SERVICOS EDITORIAS LTDA,1.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,MILFOLHAS PRODUCAO EDITORIAL LTDA,4.0
BRASIL,2013,ESPAÑOL,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ORGANO GRAMA PRODUCAO EDITORIAL E CULTURAL LTDA,1.0
